Unit,ID,Entry,Row,Range,ReplicationTOS,TRT,RepRow,Variety,Type,TOS,Plotname,subset
40,V23,23,30,4,1,23,2,CSIROB1,TL,7,V23 (CSIROB1),
41,V67,67,21,5,1,67,1,Mace,TL,7,V67 (Mace),
42,V28,28,22,5,1,28,1,CSIROW007,TL,7,V28 (CSIROW007),
43,V61,61,23,5,2,61,1,Janz,TL,7,V61 (Janz),
44,V62,62,24,5,2,62,1,Keel,TL,7,V62 (Keel),
45,V40,40,25,5,1,40,1,Cutlass,TL,7,V40 (Cutlass),
46,V86,86,26,5,1,86,2,Sunbri,TL,7,V86 (Sunbri),
47,V81,81,27,5,1,81,2,Shepherd,TL,7,V81 (Shepherd),
48,V53,53,28,5,2,53,2,Forrest,TL,7,V53 (Forrest),
49,V48,48,29,5,2,48,2,Ellison,TL,7,V48 (Ellison),
50,V89,89,30,5,1,89,2,Suntop,TL,7,V89 (Suntop),
51,V5,5,21,6,1,5,1,Manning,Control,7,V5 (Manning),
52,V82,82,22,6,1,82,1,Spitfire,TL,7,V82 (Spitfire),
53,V79,79,23,6,1,79,1,Scope,TL,7,V79 (Scope),
54,V51,51,24,6,2,51,1,Fleet,TL,7,V51 (Fleet),
55,V44,44,25,6,2,44,1,EGA_Gregory,TL,7,V44 (EGA_Gregory),
56,V71,71,26,6,1,71,2,Navigator,TL,7,V71 (Navigator),
57,V78,78,27,6,1,78,2,Schooner,TL,7,V78 (Schooner),
58,V56,56,28,6,2,56,2,Gauntlet,TL,7,V56 (Gauntlet),
59,V11,11,29,6,1,11,2,Bass,TL,7,V11 (Bass),
60,V45,45,30,6,2,45,2,EGA_Hume,TL,7,V45 (EGA_Hume),
61,V43,43,21,7,2,43,1,EGA_Eaglehawk,TL,7,V43 (EGA_Eaglehawk),
62,V54,54,22,7,2,54,1,Franklin,TL,7,V54 (Franklin),
63,V26,26,23,7,1,26,1,CSIROW003,TL,7,V26 (CSIROW003),
64,V8,8,24,7,1,8,1,Alestar,TL,7,V8 (Alestar),
65,V30,30,25,7,1,30,1,CSIROW018,TL,7,V30 (CSIROW018),
66,V4,4,26,7,1,4,2,Spartacus CL,Control,7,V4 (Spartacus CL),
